¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
103,Niklas Sule,25,¢æ48.00m,642 ,6.86
104,Lorenzo Insigne,29,¢æ48.00m,2823 ,7.11
105,Thiago,29,¢æ48.00m,1772 ,7.47
106,Dejan Kulusevski,20,¢æ45.00m,2938 ,7.12
107,Rodrygo,19,¢æ45.00m,1023 ,6.72
108,Ferran Torres,20,¢æ45.00m,2260 ,6.72
109,Nicolo Zaniolo,21,¢æ45.00m,1535 ,6.87
110,Benjamin Pavard,24,¢æ45.00m,2790 ,7.19
111,Mason Mount,21,¢æ45.00m,2875 ,6.91
112,Davinson Sanchez,24,¢æ45.00m,2432 ,6.66
113,Theo Hernandez,23,¢æ45.00m,2819 ,7.19
114,Martin Odegaard,21,¢æ45.00m,2533 ,7.10
115,Alessandro Bastoni,21,¢æ45.00m,1922 ,6.76
116,Marcos Llorente,25,¢æ45.00m,1368 ,6.59
117,Wilfred Ndidi,23,¢æ45.00m,2674 ,7.23
118,Youri Tielemans,23,¢æ45.00m,2834 ,6.88
119,Jack Grealish,25,¢æ45.00m,3234 ,7.23
120,Memphis Depay,26,¢æ45.00m,1022 ,7.59
121,Ciro Immobile,30,¢æ45.00m,3176 ,7.57
122,Mateo Kovacic,26,¢æ45.00m,2073 ,6.94
123,Donny van de Beek,23,¢æ44.00m,1916 ,7.41
124,Alexandre Lacazette,29,¢æ42.00m,1878 ,6.92
125,Sergio Aguero,32,¢æ42.00m,1460 ,7.16
126,Ibrahima Konate,21,¢æ40.50m,568 ,6.81
127,Aaron Wan-Bissaka,23,¢æ40.00m,3102 ,7.19
128,Tanguy Ndombele,23,¢æ40.00m,1011 ,6.71
129,Bukayo Saka,19,¢æ40.00m,1755 ,6.65
130,Jules Kounde,22,¢æ40.00m,2307 ,6.87
131,Eder Militao,22,¢æ40.00m,1020 ,6.85
132,Pau Torres,23,¢æ40.00m,2971 ,6.67
133,Nicolas Pepe,25,¢æ40.00m,2016 ,7.06
134,Diogo Jota,23,¢æ40.00m,2298 ,6.76
135,Denis Zakaria,24,¢æ40.00m,1947 ,7.15
136,Tammy Abraham,23,¢æ40.00m,2221 ,6.91
137,Caglar Soyuncu,24,¢æ40.00m,3037 ,7.04
138,Marcus Thuram,23,¢æ40.00m,2217 ,7.30
139,Dominic Calvert-Lewin,23,¢æ40.00m,2660 ,6.87
140,Naby Keita,25,¢æ40.00m,814 ,6.94
141,Marco Asensio,24,¢æ40.00m,334 ,6.79
142,Ferland Mendy,25,¢æ40.00m,1806 ,7.01
143,Angel Correa,25,¢æ40.00m,2065 ,6.67
144,Joe Gomez,23,¢æ40.00m,2000 ,6.78
145,Alex Telles,27,¢æ40.00m,2558 ,7.37
146,Kingsley Coman,24,¢æ40.00m,1507 ,7.13
147,Moussa Dembele,24,¢æ40.00m,2189 ,7.06
148,Hakim Ziyech,27,¢æ40.00m,1619 ,8.19
149,Raul Jimenez,29,¢æ40.00m,3252 ,7.25
150,Adama Traore,24,¢æ40.00m,2608 ,7.49
151,Nathan Ake,25,¢æ40.00m,2505 ,6.75
152,Marcelo Brozovic,28,¢æ40.00m,2703 ,7.15
153,Wissam Ben Yedder,30,¢æ40.00m,2173 ,7.35
154,Daniel Carvajal,28,¢æ40.00m,2741 ,7.18
155,Alvaro Morata,28,¢æ40.00m,2105 ,6.88
156,Kyle Walker,30,¢æ40.00m,2398 ,6.90
157,Duvan Zapata,29,¢æ40.00m,2038 ,7.41
158,Ilkay Gundogan,30,¢æ40.00m,2017 ,6.70
159,Georginio Wijnaldum,30,¢æ40.00m,2948 ,6.81
160,Lukas Klostermann,24,¢æ38.00m,2647 ,6.89
161,David Neres,23,¢æ36.00m,635 ,7.21
162,Moussa Diaby,21,¢æ36.00m,1771 ,6.93
163,Jonathan Ikone,22,¢æ36.00m,2075 ,6.85
