¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
447,Sergio Canales,29,¢æ20.00m,3167 ,6.88
448,Pizzi,31,¢æ20.00m,2827 ,7.61
449,Cesar Azpilicueta,31,¢æ20.00m,3230 ,7.12
450,Henrikh Mkhitaryan,31,¢æ20.00m,1647 ,6.63
451,Toby Alderweireld,31,¢æ20.00m,2958 ,6.82
452,Mats Hummels,31,¢æ20.00m,2586 ,7.11
453,Dusan Tadic,32,¢æ20.00m,2172 ,7.72
454,Alessio Cragno,26,¢æ20.00m,1440 ,6.96
455,Daley Blind,30,¢æ20.00m,1745 ,7.20
456,Dodi Lukebakio,23,¢æ19.00m,2047 ,6.83
457,Viktor Tsygankov,23,¢æ19.00m,N/A,N/A
458,Stanislav Lobotka,26,¢æ19.00m,753 ,6.57
459,Oscar,29,¢æ19.00m,2520 ,7.97
460,Anthony Lopes,30,¢æ19.00m,2340 ,6.71
461,Willian,32,¢æ19.00m,2605 ,7.31
462,Paulinho,32,¢æ18.50m,2436 ,7.66
463,Antony,20,¢æ18.00m,2383 ,7.14
464,Thiago Almada,19,¢æ18.00m,1198 ,6.82
465,Darwin Nunez,21,¢æ18.00m,N/A,N/A
466,Tariq Lamptey,20,¢æ18.00m,591 ,6.84
467,Mohamed Ihattaren,18,¢æ18.00m,N/A,N/A
468,Musa Barrow,22,¢æ18.00m,1540 ,6.83
469,Eberechi Eze,22,¢æ18.00m,4063 ,7.36
470,Myron Boadu,19,¢æ18.00m,2020 ,7.19
471,Raphinha,23,¢æ18.00m,2055 ,7.08
472,Calvin Stengs,21,¢æ18.00m,2158 ,7.38
473,Amadou Haidara,22,¢æ18.00m,745 ,6.55
474,Exequiel Palacios,22,¢æ18.00m,1070 ,6.91
475,Eljif Elmas,21,¢æ18.00m,1128 ,6.40
476,Pablo Fornals,24,¢æ18.00m,2179 ,6.48
477,Florentino,21,¢æ18.00m,746 ,7.19
478,Mason Holgate,24,¢æ18.00m,2084 ,6.77
479,Sander Berge,22,¢æ18.00m,950 ,6.81
480,Valentin Rongier,25,¢æ18.00m,1793 ,7.07
481,Takehiro Tomiyasu,22,¢æ18.00m,2532 ,6.81
482,Manuel Lazzari,26,¢æ18.00m,2555 ,6.57
483,Christoph Baumgartner,21,¢æ18.00m,1496 ,6.75
484,Diego Rossi,22,¢æ18.00m,3082 ,7.38
485,Milot Rashica,24,¢æ18.00m,2278 ,6.99
486,Ainsley Maitland-Niles,23,¢æ18.00m,1383 ,6.63
487,Carles Alena,22,¢æ18.00m,902 ,6.30
488,Ramy Bensebaini,25,¢æ18.00m,1450 ,7.14
489,David Brooks,23,¢æ18.00m,513 ,6.37
490,Hans Hateboer,26,¢æ18.00m,2355 ,6.66
491,Aleksey Miranchuk,25,¢æ18.00m,2273 ,7.31
492,Otavio,25,¢æ18.00m,2213 ,6.92
493,Bryan Cristante,25,¢æ18.00m,1644 ,6.53
494,Kepa,26,¢æ18.00m,2970 ,6.36
495,Emerson,26,¢æ18.00m,1026 ,6.71
496,Nathan Redmond,26,¢æ18.00m,2771 ,6.96
497,Kerem Demirbay,27,¢æ18.00m,1578 ,6.91
498,Nikola Maksimovic,29,¢æ18.00m,1801 ,6.79
499,Leonardo Spinazzola,27,¢æ18.00m,1549 ,6.67
500,Marcos Alonso,29,¢æ18.00m,1433 ,7.30
